,symbol_id,simillar_symbol_id,score
335,066570.KS,005380.KS,0.08733
336,066570.KS,034220.KS,0.078999
337,066570.KS,000660.KS,0.072226
338,066570.KS,005490.KS,0.069011
339,066570.KS,006400.KS,0.06307
340,051915.KS,051910.KS,0.049012
341,051915.KS,006405.KS,0.023667
342,051915.KS,005935.KS,0.022679
343,051915.KS,096770.KS,0.022151
344,051915.KS,006400.KS,0.021517
345,051910.KS,006400.KS,0.130966
346,051910.KS,096770.KS,0.089132
347,051910.KS,005380.KS,0.075956
348,051910.KS,035420.KS,0.070253
349,051910.KS,000660.KS,0.06872
350,079550.KS,047810.KS,0.016344
351,079550.KS,012450.KS,0.014911
352,079550.KS,064350.KS,0.009431
353,079550.KS,011070.KS,0.007382
354,079550.KS,272210.KS,0.007272
355,010120.KS,006260.KS,0.022817
356,010120.KS,006360.KS,0.019325
357,010120.KS,016360.KS,0.017653
358,010120.KS,010950.KS,0.017187
359,010120.KS,010130.KS,0.017145
360,000680.KS,000140.KS,0.007132
361,000680.KS,000700.KS,0.006892
362,000680.KS,000370.KS,0.006786
363,000680.KS,000880.KS,0.006676
364,000680.KS,000210.KS,0.006638
365,006260.KS,006360.KS,0.024506
366,006260.KS,002380.KS,0.023746
367,006260.KS,010120.KS,0.022817
368,006260.KS,000210.KS,0.022519
369,006260.KS,016360.KS,0.022153
370,108320.KS,034220.KS,0.001536
371,108320.KS,009150.KS,0.001361
372,108320.KS,011070.KS,0.001307
373,108320.KS,066570.KS,0.001152
374,108320.KS,240810.KQ,0.001128
375,001120.KS,006260.KS,0.016523
376,001120.KS,000240.KS,0.015753
377,001120.KS,001230.KS,0.015647
378,001120.KS,005940.KS,0.015334
379,001120.KS,000210.KS,0.015173
380,023150.KS,018670.KS,0.003826
381,023150.KS,012320.KS,0.003699
382,023150.KS,017390.KS,0.00369
383,023150.KS,025860.KS,0.003674
384,023150.KS,003690.KS,0.003662
385,035420.KS,035720.KS,0.245502
386,035420.KS,005380.KS,0.096592
387,035420.KS,000660.KS,0.088678
388,035420.KS,051910.KS,0.070253
389,035420.KS,006400.KS,0.065908
390,181710.KS,036570.KS,0.017059
391,181710.KS,251270.KS,0.015034
392,181710.KS,035420.KS,0.011955
393,181710.KS,078340.KQ,0.011601
394,181710.KS,263750.KQ,0.010985
